"id","term","slug","url","status","categories","synonyms","keywords","author","updated_at","image","image_alt","related_terms","internal_links","source_file"
"adventure-streetwear","Adventure Streetwear","adventure-streetwear","https://eskyna.com/glossar/adventure-streetwear/","published","Stil & Wirkung","","adventure streetwear; utility streetwear; outdoor street style","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/adventure-streetwear.png","Glossar-Illustration zu Adventure Streetwear","Gorpcore (https://eskyna.com/glossar/gorpcore/); Utility Jacket (https://eskyna.com/glossar/utility-jacket/); Khaki (https://eskyna.com/glossar/khaki/); Sneaker (https://eskyna.com/glossar/sneaker/); Pocket Vest (https://eskyna.com/glossar/pocket-vest/)","https://eskyna.com/glossar/gorpcore/; https://eskyna.com/glossar/kategorie/stil-wirkung/; https://eskyna.com/glossar/khaki/; https://eskyna.com/glossar/pocket-vest/; https://eskyna.com/glossar/sneaker/; https://eskyna.com/glossar/utility-jacket/; https://eskyna.com/praesenz/","content/de/glossar/adventure-streetwear.md"
"aktivierung","Aktivierung","aktivierung","https://eskyna.com/glossar/aktivierung/","published","Stil & Wirkung","","aktivierung; was bedeutet aktivierung; aktivierung stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/aktivierung.png","Editoriale Glossar-Grafik zu Aktivierung mit ruhigen Farbfeldern und feiner Linienführung","Signature Look (https://eskyna.com/glossar/signature-look/); Wirkung (https://eskyna.com/glossar/wirkung/); Stilberatung (https://eskyna.com/glossar/stilberatung/); Personal Style (https://eskyna.com/glossar/personal-style/); Garderobenlogik (https://eskyna.com/glossar/garderobenlogik/)","https://eskyna.com/glossar/garderobenlogik/; https://eskyna.com/glossar/kategorie/stil-wirkung/; https://eskyna.com/glossar/personal-style/; https://eskyna.com/glossar/signature-look/; https://eskyna.com/glossar/stilberatung/; https://eskyna.com/glossar/wirkung/; https://eskyna.com/praesenz/","content/de/glossar/aktivierung.md"
"akzentfarbe","Akzentfarbe","akzentfarbe","https://eskyna.com/glossar/akzentfarbe/","published","Farbberatung & Farbe","","akzentfarbe; farben kombinieren; farbe als akzent; stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/akzentfarbe.png","Editoriale Grafik zum Glossarbegriff Akzentfarbe mit ruhigen Farbfeldern und klarer Linienführung","Farbpalette (https://eskyna.com/glossar/farbpalette/); Statement-Piece (https://eskyna.com/glossar/statement-piece/); Accessoire (https://eskyna.com/glossar/accessoire/); Pink (https://eskyna.com/glossar/pink/); Orange (https://eskyna.com/glossar/orange/); Gelb (https://eskyna.com/glossar/gelb/); Fuchsia (https://eskyna.com/glossar/fuchsia/); Metallic (https://eskyna.com/glossar/metallic/)","https://eskyna.com/glossar/kategorie/farbberatung-farbe/; https://eskyna.com/stilgefuehl/","content/de/glossar/akzentfarbe.md"
"allover-print","Allover-Print","allover-print","https://eskyna.com/glossar/allover-print/","published","Materialien & Details","","allover-print; was bedeutet allover-print; allover-print stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/allover-print.png","Editoriale Glossar-Grafik zu Allover-Print mit ruhigen Farbfeldern und feiner Linienführung","Materialfall (https://eskyna.com/glossar/materialfall/); Struktur (https://eskyna.com/glossar/struktur/); Glanzgrad (https://eskyna.com/glossar/glanzgrad/); Accessoire (https://eskyna.com/glossar/accessoire/)","https://eskyna.com/glossar/accessoire/; https://eskyna.com/glossar/glanzgrad/; https://eskyna.com/glossar/kategorie/materialien-details/; https://eskyna.com/glossar/materialfall/; https://eskyna.com/glossar/struktur/; https://eskyna.com/stilfrage/","content/de/glossar/allover-print.md"
"alltagsuniform","Alltagsuniform","alltagsuniform","https://eskyna.com/glossar/alltagsuniform/","published","Garderobe & Alltag","","alltagsuniform; was bedeutet alltagsuniform; alltagsuniform stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/alltagsuniform.png","Editoriale Glossar-Grafik zu Alltagsuniform mit ruhigen Farbfeldern und feiner Linienführung","Capsule Wardrobe (https://eskyna.com/glossar/capsule-wardrobe/); Garderobenlogik (https://eskyna.com/glossar/garderobenlogik/); Outfit-Formel (https://eskyna.com/glossar/outfit-formel/); Key-Piece (https://eskyna.com/glossar/key-piece/); Fehlkauf (https://eskyna.com/glossar/fehlkauf/)","https://eskyna.com/glossar/capsule-wardrobe/; https://eskyna.com/glossar/fehlkauf/; https://eskyna.com/glossar/garderobenlogik/; https://eskyna.com/glossar/kategorie/garderobe-alltag/; https://eskyna.com/glossar/key-piece/; https://eskyna.com/glossar/outfit-formel/; https://eskyna.com/stilgarderobe/","content/de/glossar/alltagsuniform.md"
"alpaka","Alpaka","alpaka","https://eskyna.com/glossar/alpaka/","published","Materialien & Details","","alpaka; was ist alpaka; alpaka","Natalia Kleemann","2026-07-18","https://eskyna.com/images/glossar/alpaka.png","Glossar-Illustration zu Alpaka","","","content/de/glossar/alpaka.md"
"analogfarben","Analogfarben","analogfarben","https://eskyna.com/glossar/analogfarben/","published","Farbberatung & Farbe","","analogfarben; was bedeutet analogfarben; analogfarben stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/analogfarben.png","Editoriale Glossar-Grafik zu Analogfarben mit ruhigen Farbfeldern und feiner Linienführung","Farbtyp (https://eskyna.com/glossar/farbtyp/); Unterton (https://eskyna.com/glossar/unterton/); Kontrast (https://eskyna.com/glossar/kontrast/); Farbpalette (https://eskyna.com/glossar/farbpalette/); Akzentfarbe (https://eskyna.com/glossar/akzentfarbe/)","https://eskyna.com/glossar/akzentfarbe/; https://eskyna.com/glossar/farbpalette/; https://eskyna.com/glossar/farbtyp/; https://eskyna.com/glossar/kategorie/farbberatung-farbe/; https://eskyna.com/glossar/kontrast/; https://eskyna.com/glossar/unterton/; https://eskyna.com/stilgefuehl/","content/de/glossar/analogfarben.md"
"androgyne-figur","Androgyne Figur","androgyne-figur","https://eskyna.com/glossar/androgyne-figur/","published","Schnitt, Proportion & Passform","","androgyne figur; androgyner körperbau; androgyne frauen merkmale; was bedeutet androgyne figur","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/androgyne-figur.png","Glossar-Illustration zu Androgyne Figur","Körperform (https://eskyna.com/glossar/koerperform/); Silhouette (https://eskyna.com/glossar/silhouette/); Proportion (https://eskyna.com/glossar/proportion/); Androgyner Stil (https://eskyna.com/glossar/androgyner-stil/); Balance (https://eskyna.com/glossar/balance/)","https://eskyna.com/glossar/androgyner-stil/; https://eskyna.com/glossar/balance/; https://eskyna.com/glossar/koerperform/; https://eskyna.com/glossar/proportion/; https://eskyna.com/glossar/silhouette/","content/de/glossar/androgyne-figur.md"
"androgyner-stil","Androgyner Stil","androgyner-stil","https://eskyna.com/glossar/androgyner-stil/","published","Stil & Wirkung","","androgyner stil; was bedeutet androgyner stil; androgyner stil stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/androgyner-stil.png","Editoriale Glossar-Grafik zu Androgyner Stil mit ruhigen Farbfeldern und feiner Linienführung","Signature Look (https://eskyna.com/glossar/signature-look/); Wirkung (https://eskyna.com/glossar/wirkung/); Personal Style (https://eskyna.com/glossar/personal-style/); Garderobenlogik (https://eskyna.com/glossar/garderobenlogik/)","https://eskyna.com/glossar/garderobenlogik/; https://eskyna.com/glossar/kategorie/stil-wirkung/; https://eskyna.com/glossar/personal-style/; https://eskyna.com/glossar/signature-look/; https://eskyna.com/glossar/wirkung/; https://eskyna.com/praesenz/","content/de/glossar/androgyner-stil.md"
"animal-print","Animal Print","animal-print","https://eskyna.com/glossar/animal-print/","published","Materialien & Details","","animal print; was bedeutet animal print; animal print stilberatung","Natalia Kleemann","2026-07-09","https://eskyna.com/images/glossar/animal-print.png","Editoriale Glossar-Grafik zu Animal Print mit ruhigen Farbfeldern und feiner Linienführung","Materialfall (https://eskyna.com/glossar/materialfall/); Struktur (https://eskyna.com/glossar/struktur/); Glanzgrad (https://eskyna.com/glossar/glanzgrad/); Accessoire (https://eskyna.com/glossar/accessoire/)","https://eskyna.com/glossar/accessoire/; https://eskyna.com/glossar/glanzgrad/; https://eskyna.com/glossar/kategorie/materialien-details/; https://eskyna.com/glossar/materialfall/; https://eskyna.com/glossar/struktur/; https://eskyna.com/stilfrage/","content/de/glossar/animal-print.md"
